241,F1,11110001,1111,0001,POP AF,POP,AF,,1,12,Z,N,H,C
242,F2,11110010,1111,0010,"LD A,(C)",LD,A,(C),2,8,-,-,-,-
243,F3,11110011,1111,0011,DI,DI,,,1,4,-,-,-,-
244,F4,11110100,1111,0100, ,,,
245,F5,11110101,1111,0101,PUSH AF,PUSH,AF,,1,16,-,-,-,-
246,F6,11110110,1111,0110,OR d8,OR,d8,,2,8,Z,0,0,0
247,F7,11110111,1111,0111,RST 30H,RST,30H,,1,16,-,-,-,-
248,F8,11111000,1111,1000,"LD HL,SP+r8",LD,HL,SP+r8,2,12,0,0,H,C
249,F9,11111001,1111,1001,"LD SP,HL",LD,SP,HL,1,8,-,-,-,-
250,FA,11111010,1111,1010,"LD A,(a16)",LD,A,(a16),3,16,-,-,-,-
251,FB,11111011,1111,1011,EI,EI,,,1,4,-,-,-,-
252,FC,11111100,1111,1100, ,,,
253,FD,11111101,1111,1101, ,,,
254,FE,11111110,1111,1110,CP d8,CP,d8,,2,8,Z,1,H,C
255,FF,11111111,1111,1111,RST 38H,RST,38H,,1,16,-,-,-,-
